number,group,fake_dis_pre,fake_shar_pre,real_dis_pre,real_shar_pre,fake_dis_post,fake_shar_post,real_dis_post,real_shar_post,fake_dis_follow,fake_shar_folow,real_dis_follow,real_shar_folow,gender,age,Region,RCT,media literacy
1,1,2.2,2,4.8,4.2,1.6,2.2,2.4,1.4,0.8,1.4,3,2,1,20,2,0.5,3.5
2,1,2.2,1.2,1,1,2.6,3.4,3.8,2.6,2.2,3.2,3.4,3.6,1,23,1,0.8333333,3.25
3,1,2.6,4,3.4,3.8,1.8,2.2,3.2,2.4,1.8,2.4,3.6,3.2,1,19,4,0.5,3.25
4,1,1.4,2.8,3,3.4,2.2,2.2,2.8,4.8,2,3.2,3.8,3.2,1,19,3,0.1666667,3.25
5,1,1,1.2,1.6,1,0.8,2,1.8,2.6,1.4,1.6,1.8,2.2,1,21,1,0.8333333,3.25
6,1,1.4,2.8,4.2,4.6,1.2,2,4,3.8,1.8,2.4,2.2,1.8,1,19,2,0.8333333,3.25
7,1,1.8,1.4,2.4,1.8,1.8,2.6,2.8,2.4,1.8,2.4,3.4,2.8,1,25,4,0,4.5
8,1,2.8,2.8,3,1.2,1.8,1.6,3.4,2.2,2,2,2.6,1.8,1,22,1,1,3.5
9,1,1.2,1.8,2,1,0.8,1.2,1.8,1.2,1.6,1.4,2.2,1.4,2,20,4,0.6666667,4.5
10,1,1.2,1,1.8,1,0.6,1,3.4,2.2,1,1.4,2.2,1.2,1,20,1,0.1666667,3.75
11,1,1.4,2.2,3.6,2.8,2,2.2,3,3,1.8,2.4,2.4,2,1,26,3,0.8333333,3
12,1,0.8,2.8,3.8,3,1.8,2.8,3.8,3.4,1.2,2.2,4,3.4,1,22,2,0.1666667,4.5
13,1,2,3.2,2.6,3.2,1.6,1.6,3.4,3,2.6,3.8,3,3,2,22,4,0.6666667,3.5
14,1,1.2,2.2,4,2.8,1.4,2.2,3.4,3.2,1.4,3,3.4,2.8,1,19,3,0.5,4.25
15,1,1.8,1.2,3.2,1.8,1.8,2.2,3.8,3.4,1.8,2.6,4,2.8,1,21,2,0.5,3.75
16,1,2,2.4,3.6,2.8,1.8,2.4,2.6,1.6,1.8,2.4,2.6,1.6,1,22,3,0.6666667,3.5
17,1,1.2,1.8,3.8,3.8,0.2,1,3.4,3.4,0.2,1.8,1,1,2,20,1,0.3333333,3.5
18,1,2.4,4,3.6,3.8,0.4,1.2,3.8,4.2,0.4,2,3.8,4.2,2,21,2,0.8333333,3.75
19,1,3.4,4.8,4,3.4,1.2,2,3.8,4,1.2,2.8,3,3.2,2,21,1,0.8333333,3.5
20,1,1.2,1.8,3.4,2.2,2,2,2,1.2,2,2,2,1.2,1,20,1,0.3333333,3.25
21,1,1.8,2.2,3.2,3.2,0.8,1.8,2.2,2.2,0.8,3.4,3,2.2,1,21,1,0.3333333,4
22,1,1.8,2.6,3.2,2.8,0.6,1.4,3,2.4,0.4,1.4,3.4,2.6,1,19,3,0.5,3.25
23,1,1.6,3.4,2.4,2,1.4,2,2.4,1.2,1,1.6,2.8,2.8,2,22,1,0.1666667,4
24,1,2.2,3.2,3.8,3,1.8,3,3.8,2.8,2.4,3.2,3.2,2.6,2,20,1,0.1666667,3.75
25,1,1.8,2,3,2,1.8,1.8,3.8,2,0.6,1.2,3,2.8,2,20,4,0.3333333,3.5
26,1,2,1.4,3.4,3,0.6,1.2,2.8,2,1.4,2,2.6,1.6,1,22,1,0.5,4.25
27,1,1.8,1.6,3,2.2,0.2,1,1.2,1,0.8,1.6,3,1.8,1,20,2,0.8333333,3.5
28,1,2.4,3,3,3.4,2.6,2.8,3,2.8,2,3.2,3.4,3.4,1,21,2,0.6666667,3.5
29,1,1.2,2.6,3.6,2.4,2.4,3,3.6,3.4,1.8,2.6,2.6,2.2,2,21,2,0.3333333,4
30,1,1.6,2,1.4,1,0.6,1.2,1,1,0.6,2.4,2.4,3.2,2,22,1,1,3.75
31,1,2.6,2.6,4.2,3.2,1,1,3.6,2.2,1.8,2,2.8,1.8,2,22,2,0.5,3.25
32,1,1.4,2.4,3.2,3,1,1.2,3.6,3,1.6,2.4,2.4,2.4,2,20,1,1,3.25
33,1,0.8,1.2,3,2.8,1,1.8,3.8,3.8,2.2,3.2,2.6,2.4,2,21,3,0.5,4.5
34,1,1.8,1,3,1.4,1.6,1.4,2.2,1.2,0.6,1,3.8,2.2,1,21,1,0.5,4.25
35,1,2.4,3.2,3,2.6,0,1,3,1,1.4,1.2,4.8,4.4,1,22,4,0.5,3
36,1,1.6,1,1.4,1,1.6,1.2,1.4,1,1.6,1.4,4,4,2,23,4,0.8333333,4.25
37,1,1.8,1,3.8,1,2.4,1.8,4,2.6,3.2,3.2,4,3.8,2,23,4,0.6666667,3.5
38,1,1.8,2.6,3.2,2.4,1.4,2,3.4,2.6,1.4,2.2,3.2,3,1,21,3,0,4
39,1,1.2,1.2,3.6,3.6,0.8,1.6,2,2.8,1.4,2.4,2.8,2.8,1,19,3,0.8333333,3.5
40,1,2.6,3.4,3.4,3.8,0.4,1,4.8,3.6,0.8,1.8,3.6,2.6,1,19,1,1,3
41,1,1.8,1.8,3.4,2.2,0.8,2,2,1.8,1,1,3.4,2.2,1,23,1,0.8333333,3.75
42,1,2,2.2,3.6,3.2,0.8,1.4,3.8,3.2,1.2,2,2,1.4,1,24,4,0.8333333,3.75
43,1,2.4,3.2,2.8,2.4,2.4,3.6,3.4,3,1.4,1.4,3.8,3.6,1,21,4,0.5,4.5
44,1,2,2.2,2.8,2.8,1.4,2,2.6,2.4,1.4,2.4,3.2,2.8,2,20,1,0.5,3.75
45,1,1.8,2.2,2.8,2,2.2,2.2,4.2,3.6,1,1.6,4,2.8,2,19,3,0.6666667,3.5
46,1,2,2.2,3.6,4,1.8,2.4,2.8,2.4,1.2,2.4,3.4,3,2,22,4,0.6666667,3.5
47,1,1.8,2,2.8,1.2,2.4,3.6,3,1.6,1.8,2.2,3.8,4.4,2,20,1,0.8333333,4
48,1,1.8,1,3,1,0.8,1.4,1.4,1,1.2,1,3.8,2.6,2,26,1,0.5,3.25
49,1,1.2,1.8,3.2,2.2,1,1.6,4,2.6,2.2,1.8,2.6,2,1,22,3,0.6666667,3.5
50,1,3,3.8,3.4,3.2,2.2,1.8,2.6,1.6,1.2,1.8,4.8,4.4,2,20,2,0.8333333,3.5
51,1,1.4,2.2,3.4,4,1,1.4,3,2.8,1.4,1.8,1.8,1.6,1,22,1,0.6666667,4.5
52,1,2,2.4,3.4,2.4,1.8,2,3,2,1.4,2.6,3.6,2.8,2,25,2,0.3333333,3.75
53,1,1.6,2.6,1.6,1.2,1.4,1.6,3,2.2,1.6,2.2,2.6,2,1,19,4,0.6666667,4
54,1,0.8,1.6,3.8,3.2,2.2,3.2,4.2,4.2,2.4,2.8,2.8,2.6,1,24,1,0.1666667,2.25
55,1,1.6,1.8,3.6,2.2,1.6,2,4,2.8,0.2,1.4,3.4,3,2,24,3,0.5,3.5
56,1,1.2,2.2,2.6,2.6,1,1.6,3.4,2.6,2.2,2.6,3.4,2.6,2,24,4,0.6666667,4.25
57,1,2.2,2.6,4,3.2,1.8,2.6,4,4,3.2,3,4,2.2,2,18,1,1,3.75
58,1,0.8,1.2,3.2,1.8,2.8,3.4,3.2,2.4,1.6,2.2,4.4,3.8,1,20,1,0.8333333,4
59,1,2.6,4.2,4.2,3.4,0.2,1,2.8,2,1.2,1.4,2.8,2,2,21,1,0.6666667,3.5
60,1,1,2.4,3.6,3,1.6,2.8,3.4,3.6,1.8,2.2,3.8,3.6,1,21,2,0.8333333,4.75
61,2,1.4,1.4,3,2.2,2,1.8,2.4,1.4,1.6,1.6,3.4,2.4,1,23,1,0.8333333,3.75
62,2,1.6,1.8,3.4,2.6,2.2,3.2,4.2,3.4,2.2,3,3.6,3.2,1,21,4,0.6666667,3.25
63,2,2,1.8,3.6,2,0.8,1.2,3.2,2,0,1.8,3.8,2.6,2,26,4,0.5,4.75
64,2,2.4,3.8,3.4,3,2.4,2.4,3.4,2.8,1.2,2,3.4,2.6,2,19,4,0.6666667,3.25
65,2,2,3.2,3.8,3.4,2.2,2.6,3.6,3.4,2.6,3.2,3.4,2.6,2,21,3,0.6666667,3.75
66,2,1.4,3.4,3.4,2.4,2,2,3,3,3.2,3.2,3.8,4,2,18,4,0.5,5
67,2,2.6,3.4,3.8,4.4,2,3,4,4.4,2,3.4,3.4,4,2,21,1,0.8333333,2.25
68,2,1,2.2,3.8,3.6,2.6,3.4,3.4,4.4,1.2,2.4,3.8,4,2,19,4,0.1666667,3.5
69,2,1.6,1.4,4,2,1.6,1.4,1.4,1,0.2,1.2,2.4,2,2,21,3,0.8333333,3.25
70,2,2.2,2.2,2.2,1,1.6,1.2,2.4,1.8,1.4,2.6,2.2,2.4,2,20,1,0,3.75
71,2,1.8,2.4,3,2.4,2,2.4,2.6,2.2,1.2,2.2,2.6,2.6,2,19,2,0.6666667,3.5
72,2,1.4,1,3.6,1,2.2,1.6,2.8,1.4,2.2,1.2,3,1.4,2,23,4,0.3333333,3.75
73,2,1,1,3.6,1,0.6,2.6,3,3.2,3,3.8,4.6,3,1,18,1,0.3333333,5
74,2,2.4,2.2,3.8,3.4,1.8,2.2,2.2,1.8,0.8,1.8,2.4,1.6,1,21,2,0.1666667,3.5
75,2,1.6,2.2,2.8,2,2,2.2,2.6,1.8,1.8,2,3.4,2.8,1,21,2,0.5,4
76,2,1.2,1.6,2.6,2.2,0.8,1.6,3.4,2.4,2,2.2,3.8,3.8,2,20,1,0,3.5
77,2,1,1.2,3.6,3,2.2,2.6,3,2.2,1.8,2.2,3,2.8,1,20,2,0.3333333,4.25
78,2,2.8,3.2,3.2,2.6,1.4,2,2.4,2,0.4,1.4,2.8,2.2,2,22,4,0.5,3.75
79,2,1.6,1.8,3.4,2.6,2.2,3.2,4.2,3.4,2.2,3,3.6,3.2,1,21,4,0.3333333,4.5
80,2,2,2.2,3.4,2.8,1.6,2.4,3.6,3,1.4,2.6,4.2,3.8,2,22,1,0.5,4.5
81,2,1.8,1,3.6,1.2,2,1.2,2.6,1,2.6,2.8,4.4,2.8,1,25,4,0.5,4.5
82,2,1.4,2.6,2.8,3.2,1.6,3,2.2,2.2,2.6,3.6,3.8,4,2,20,4,0.3333333,5
83,2,1.4,2.2,2,2.2,1.2,2,2.4,2.2,1.6,2.2,2.8,2.4,2,18,2,0.5,4
84,2,2.2,3,3.8,3.6,1.8,2.4,2.2,1.6,0.8,1.8,4.2,3.8,1,22,4,0.5,4.25
85,2,1.2,1.6,3.8,3.2,1.4,1.8,3.6,3.8,1.8,3.4,4,3.6,1,23,4,0.5,4.75
86,2,1.8,1.6,3.8,2.2,0.8,1.4,2.6,2.2,1.2,1.6,3.8,2.8,1,21,3,0.3333333,4
87,2,3,2.6,4,3.4,1.8,3.2,2.2,2,1.4,3.6,3.2,3.8,1,22,1,0.5,3.5
