,Session.ID,treatment,FactsPre,FakePre,FakePost,FactsPost,DiffPre,DiffPost,Fact1Pre,Fact2Pre,Fact3Pre,Fact4Pre,Fact5Pre,Fact6Pre,Fact1Post,Fact2Post,Fact3Post,Fact4Post,Fact5Post,Fact6Post,Em1Pre,Em2Pre,Dis1Pre,Dis2Pre,Cons1Pre,Cons2Pre,Dis1Post,Dis2Post,Em1Post,Em2Post,Cons1Post,EducationPretest,GenderPretest,AgePretest,PoliticalIdeologyPretest,LCred,RCred,RSlant,LSlant,LeftCredCat,RightCredCat,RExtremity,LExtremity,RSlantCategory,LSlantCategory,Dif,ExtremityCategoryL,ExtremityCategoryR,Group,PerceivedGroupR,PerceivedGroupL,PerceivedGroup,PerceivedGroupFake
4,4,L,3.5,3.166666667,2.666666667,3.166666667,0.333333333,0.5,2,5,4,3,4,3,2,5,3,2,4,3,4,4,1,3,4,3,2,2,3,3,4,Some college,Other,18-29,3,3,2,5.333333333,3.5,low,low,1.333333333,0.5,Right,Left,0.5,Neutral,Moderate,Ingroup,Outgroup,Ingroup,Ingroup,Ingroup
6,6,N,5.333333333,1.166666667,1.333333333,5.166666667,4.166666667,3.833333333,2,6,7,6,4,7,2,7,7,4,4,7,2,1,1,1,1,1,1,1,1,2,2,Some college,Male,18-29,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.166666667,NA,NA,Control,NA,NA,Control,Control
9,9,L,7,2,2,7,5,5,7,7,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,7,7,1,1,1,1,High school or less,Female,18-29,3,4,5.333333333,6,7,high,high,2,3,Right,Right,0,Extreme,Extreme,Ingroup,Outgroup,Outgroup,Outgroup,Outgroup
18,18,L,4.666666667,6,2,4.166666667,-1.333333333,2.166666667,2,7,4,5,7,3,2,7,5,3,5,3,7,3,7,6,6,7,3,1,2,2,3,Some college,Female,18-29,5,6.666666667,4.333333333,4.666666667,6.5,high,high,0.666666667,2.5,Right,Right,4,Extreme,Moderate,Outgroup,Ingroup,Ingroup,Ingroup,Ingroup
20,20,L,5.333333333,5.666666667,1,2.333333333,-0.333333333,1.333333333,7,4,1,7,6,7,1,1,2,2,1,7,6,6,6,7,6,3,1,1,1,1,1,Some college,Male,Over 50,3,1,1,4,2.5,low,low,0,1.5,Neutral,Left,4.666666667,Moderate,Neutral,Ingroup,Neither,Ingroup,Ingroup,Ingroup
21,21,R,4.166666667,1.666666667,1.2,3.166666667,2.5,1.966666667,1,5,6,5,2,6,4,4,2,3,1,5,1,4,1,2,1,1,1,1,NA,1,1,Some college,Male,Over 50,3,1,1,4,2.5,low,low,0,1.5,Neutral,Left,0.466666667,Moderate,Neutral,Outgroup,Neither,Ingroup,Neither,Neither
23,23,L,5.5,2.666666667,2.666666667,3.166666667,2.833333333,0.5,4,7,4,4,7,7,3,5,2,3,3,3,2,7,1,1,4,1,3,3,3,3,3,Some college,Female,30-49,3,2.666666667,3.666666667,4,5,low,low,0,1,Neutral,Right,0,Moderate,Neutral,Ingroup,Neither,Outgroup,Outgroup,Outgroup
24,24,R,3.333333333,1.5,2,2.5,1.833333333,0.5,1,1,6,1,6,5,2,2,2,5,2,2,1,1,4,1,1,1,2,2,NA,2,2,Some college,Female,30-49,3,2.666666667,3.666666667,4,5,low,low,0,1,Neutral,Right,-0.5,Moderate,Neutral,Outgroup,Neither,Outgroup,Neither,Neither
25,25,N,3,3,2,2.666666667,0,0.666666667,2,3,6,3,2,2,2,2,6,2,2,2,2,4,2,2,5,3,2,2,2,2,2,Some college,Female,30-49,3,2.666666667,3.666666667,4,4.666666667,low,low,0,0.666666667,Neutral,Right,1,Moderate,Neutral,Control,Neither,Outgroup,Control,Control
29,29,L,3.333333333,4.5,3.166666667,3.833333333,-1.166666667,0.666666667,2,3,4,3,2,6,2,3,5,4,4,5,6,5,5,2,4,5,2,2,5,3,3,High school or less,Female,18-29,3,3.666666667,2.333333333,6,3,low,low,2,1,Right,Left,1.333333333,Moderate,Extreme,Ingroup,Outgroup,Ingroup,Ingroup,Ingroup
43,43,R,7,5,4.4,6.166666667,2,1.766666667,7,7,7,7,7,7,5,6,7,7,6,6,4,4,7,4,4,7,4,4,NA,5,3,Some college,Female,18-29,6,7,4.666666667,3.333333333,6,high,high,0.666666667,2,Left,Right,0.6,Extreme,Moderate,Ingroup,Outgroup,Ingroup,Outgroup,Outgroup
52,52,L,5,2.5,2.666666667,5,2.5,2.333333333,1,7,7,1,7,7,1,7,7,1,7,7,1,7,1,1,3,2,1,1,3,7,2,Higher degree,Female,18-29,1,4,3,5,5,high,low,1,1,Right,Right,-0.166666667,Moderate,Moderate,Ingroup,Outgroup,Outgroup,Outgroup,Outgroup
55,55,L,5.5,4.5,2,4.833333333,1,2.833333333,4,7,7,6,2,7,1,7,7,4,3,7,7,6,4,1,5,4,1,1,7,1,1,Some college,Female,18-29,1,6,3,4,6,high,low,0,2,Neutral,Right,2.5,Extreme,Neutral,Ingroup,Neither,Outgroup,Outgroup,Outgroup
