fileName,variableName,description,unitText
Bhargava-data-cov.csv,responseid,Subject ID,NA
Bhargava-data-cov.csv,age,Demographic: age,NA
Bhargava-data-cov.csv,demrepc,Demographic: political affiliation,NA
Bhargava-data-cov.csv,screener2acc,Average attention accuracy in 2nd screener,NA
Bhargava-data-cov.csv,screener3acc,Average attention accuracy in 3rd screener,NA
Bhargava-data-cov.csv,screenacc,Average attention accuracy in 1st screener,NA
Bhargava-data-cov.csv,condition,"Whether participants saw correction-only video, misinformation-only video, or both",NA
Bhargava-data-cov.csv,counterbalance,Whether false or true video was first,NA
Bhargava-data-cov.csv,education,Demographic: education level,NA
Bhargava-data-cov.csv,aspartame,Agreement measure with a misinformative statement on topic: Aspartame toxicity (using Likert scale from 1 (“Strongly disagree”) to 7 (“Strongly agree”)),NA
Bhargava-data-cov.csv,asymptomatic,Agreement measure with a misinformative statement on topic: COVID-19 asymptomatic transmission (using Likert scale from 1 (“Strongly disagree”) to 7 (“Strongly agree”))agreement),NA
Bhargava-data-cov.csv,rust,Agreement measure with a misinformative statement on topic: Rust film set shooting (using Likert scale from 1 (“Strongly disagree”) to 7 (“Strongly agree”)),NA
Bhargava-data-cov.csv,herd,Agreement measure with a misinformative statement on topic: COVID-19 herd immunity (using Likert scale from 1 (“Strongly disagree”) to 7 (“Strongly agree”)),NA
Bhargava-data-cov.csv,ivermectin,Agreement measure with a misinformative statement on topic: Ivermectin COVID-19 treatment (using Likert scale from 1 (“Strongly disagree”) to 7 (“Strongly agree”)),NA
Bhargava-data-cov.csv,brain,Agreement measure with a misinformative statement on topic: Left or right brain personality traits (using Likert scale from 1 (“Strongly disagree”) to 7 (“Strongly agree”)),NA
Bhargava-data-cov.csv,tiktok,Participant has or does not have TikTok,NA
Bhargava-data-cov.csv,tiktokuse,"If participant has TikTok, self-reporting on TikTok usage",NA
Bhargava-data-cov.csv,tiktokrelativeuse,"If participant has TikTok, usage relative to other users",NA
Hu-Dataset.csv,number,ID number,NA
Hu-Dataset.csv,group,"Assigned number for control, game-based, graphics-based groups (1-3)",NA
Hu-Dataset.csv,fake_dis_pre,"Fake headlines pre-test credibility score using Likert scale (1 = totally not accurate, 5 = very accurate)",NA
Hu-Dataset.csv,fake_shar_pre,"Fake headlines pre-test willingness to share score using Likert scale (1 = totally not accurate, 5 = very accurate)",NA
Hu-Dataset.csv,real_dis_pre,"Real headlines pre-test credibility score using Likert scale (1 = totally not accurate, 5 = very accurate)",NA
Hu-Dataset.csv,real_shar_pre,"Real headlines pre-test willingness to share score using Likert scale (1 = totally not accurate, 5 = very accurate)",NA
Hu-Dataset.csv,fake_dis_post,"Fake headlines post-test credibility score using Likert scale (1 = totally not accurate, 5 = very accurate)",NA
Hu-Dataset.csv,fake_shar_post,"Fake headlines post-test willingness to share score using Likert scale (1 = totally not accurate, 5 = very accurate)",NA
Hu-Dataset.csv,real_dis_post,"Real headlines post-test credibility score using Likert scale (1 = totally not accurate, 5 = very accurate)",NA
Hu-Dataset.csv,real_shar_post,"Real headlines post-test willingness to share score using Likert scale (1 = totally not accurate, 5 = very accurate)",NA
Hu-Dataset.csv,fake_dis_follow,"Fake headlines follow-up test credibility score using Likert scale (1 = totally not accurate, 5 = very accurate)",NA
Hu-Dataset.csv,fake_shar_folow,"Fake headlines follow-up test willingness to share score using Likert scale (1 = totally not accurate, 5 = very accurate)",NA
Hu-Dataset.csv,real_dis_follow,"Real headlines follow-up test credibility score using Likert scale (1 = totally not accurate, 5 = very accurate)",NA
Hu-Dataset.csv,real_shar_folow,"Real headlines follow-up test willingness to share score using Likert scale (1 = totally not accurate, 5 = very accurate)",NA
Hu-Dataset.csv,gender,Demographic: gender,NA
Hu-Dataset.csv,age,Demographic: age,NA
Hu-Dataset.csv,Region,Demographic: region (1-29 for each Chinese province represented in study),NA
Hu-Dataset.csv,RCT,Cognitive ability score,NA
Hu-Dataset.csv,media literacy,Media literacy score,NA
Roozenbeek-complete_data.csv,Session.ID,Unique session ID number (duplicate),NA
Roozenbeek-complete_data.csv,Session.ID,Unique session ID number,NA
Roozenbeek-complete_data.csv,treatment,Participant Indicated Political Ideology,NA
Roozenbeek-complete_data.csv,FactsPre,Factual headline issued pre-game using Likert scale (1-7),NA
Roozenbeek-complete_data.csv,FakePre,Fake headline issued pre-game using Likert scale (1-7),NA
Roozenbeek-complete_data.csv,FakePost,Fake headline issued post-game using Likert scale (1-7),NA
